asset,year,partition,rep_period,specification
SE_Hydro_Reservoir,2050,24,1,uniform
SE_Nuclear,2050,4,1,uniform
SE_OCGT,2050,4,1,uniform
SE_Solar,2050,4,1,uniform
SE_Wind_Offshore,2050,4,1,uniform
SE_Wind_Onshore,2050,4,1,uniform
SE_electrolyzer,2050,4,1,uniform
SI_Battery,2050,4,1,uniform
SI_Coal,2050,4,1,uniform
SI_E_Demand,2050,4,1,uniform
SI_E_ENS,2050,4,1,uniform
SI_Gas,2050,4,1,uniform
SI_H_Demand,2050,4,1,uniform
SI_Hydro,2050,4,1,uniform
SI_Nuclear,2050,4,1,uniform
SI_OCGT,2050,4,1,uniform
SI_Pump_Hydro_Closed,2050,24,1,uniform
SI_Solar,2050,4,1,uniform
SI_Wind_Offshore,2050,4,1,uniform
SI_Wind_Onshore,2050,4,1,uniform
SI_electrolyzer,2050,4,1,uniform
SK_Battery,2050,4,1,uniform
SK_Coal,2050,4,1,uniform
SK_E_Demand,2050,4,1,uniform
SK_E_ENS,2050,4,1,uniform
SK_Gas,2050,4,1,uniform
SK_H_Demand,2050,4,1,uniform
SK_Hydro,2050,4,1,uniform
SK_Hydro_Reservoir,2050,24,1,uniform
SK_Nuclear,2050,4,1,uniform
SK_Pump_Hydro_Closed,2050,24,1,uniform
SK_Pump_Hydro_Open,2050,24,1,uniform
SK_Solar,2050,4,1,uniform
SK_Wind_Onshore,2050,4,1,uniform
SK_electrolyzer,2050,4,1,uniform
UK_Battery,2050,1,1,uniform
UK_E_Demand,2050,1,1,uniform
UK_E_ENS,2050,1,1,uniform
UK_Gas,2050,1,1,uniform
UK_H_Demand,2050,1,1,uniform
UK_Hydro,2050,1,1,uniform
UK_Nuclear,2050,1,1,uniform
UK_OCGT,2050,1,1,uniform
UK_Pump_Hydro_Closed,2050,24,1,uniform
UK_Solar,2050,1,1,uniform
UK_Wind_Offshore,2050,1,1,uniform
UK_Wind_Onshore,2050,1,1,uniform
UK_electrolyzer,2050,1,1,uniform
